# x g ann dg ann_dg ddg ann_ddg ann_antiderivative
-0.015 0.475625 0.475202 4.41123 4.41668 -12.5776 -12.5198 -0.241838
-0.01 0.497521 0.497126 4.34663 4.35236 -13.2594 -13.205 -0.239407
-0.005 0.519086 0.51872 4.27865 4.28464 -13.9298 -13.8791 -0.236867
0 0.540302 0.539967 4.20735 4.21359 -14.5882 -14.5412 -0.23422
0.005 0.561154 0.56085 4.13279 4.13925 -15.2339 -15.1909 -0.231468
0.01 0.581625 0.581354 4.05504 4.0617 -15.8663 -15.8275 -0.228612
0.015 0.601699 0.601462 3.97415 3.981 -16.4849 -16.4503 -0.225655
0.02 0.621361 0.621159 3.89021 3.89722 -17.089 -17.0588 -0.222598
0.025 0.640596 0.640429 3.80329 3.81044 -17.678 -17.6524 -0.219444
0.03 0.659389 0.659258 3.71346 3.72072 -18.2515 -18.2305 -0.216195
0.035 0.677726 0.677631 3.6208 3.62816 -18.8088 -18.7925 -0.212852
0.04 0.695593 0.695535 3.5254 3.53283 -19.3495 -19.338 -0.209419
0.045 0.712976 0.712955 3.42734 3.43481 -19.873 -19.8664 -0.205898
0.05 0.729862 0.729879 3.3267 3.33419 -20.3789 -20.3771 -0.202291
0.055 0.746239 0.746293 3.22358 3.23107 -20.8667 -20.8698 -0.1986
0.06 0.762094 0.762185 3.11806 3.12553 -21.3358 -21.3439 -0.194828
0.065 0.777415 0.777544 3.01025 3.01766 -21.786 -21.799 -0.190979
0.07 0.792193 0.792358 2.90023 2.90757 -22.2168 -22.2347 -0.187054
0.075 0.806414 0.806616 2.78811 2.79535 -22.6278 -22.6505 -0.183056
0.08 0.82007 0.820308 2.67399 2.6811 -23.0186 -23.0461 -0.178989
0.085 0.833151 0.833424 2.55796 2.56492 -23.3889 -23.4212 -0.174854
0.09 0.845647 0.845955 2.44014 2.44692 -23.7383 -23.7753 -0.170655
0.095 0.85755 0.857891 2.32062 2.3272 -24.0666 -24.1082 -0.166396
0.1 0.86885 0.869224 2.19951 2.20587 -24.3735 -24.4196 -0.162078
0.105 0.879542 0.879947 2.07692 2.08304 -24.6587 -24.7091 -0.157704
0.11 0.889617 0.890052 1.95296 1.95882 -24.922 -24.9766 -0.153279
0.115 0.89907 0.899533 1.82773 1.83331 -25.1632 -25.2218 -0.148805
0.12 0.907893 0.908383 1.70136 1.70664 -25.3821 -25.4445 -0.144285
0.125 0.916081 0.916597 1.57395 1.57891 -25.5784 -25.6446 -0.139722
0.13 0.923631 0.924171 1.44561 1.45023 -25.7522 -25.8218 -0.13512
0.135 0.930536 0.931098 1.31647 1.32073 -25.9032 -25.9761 -0.130481
0.14 0.936794 0.937377 1.18662 1.19051 -26.0314 -26.1074 -0.12581
0.145 0.942401 0.943002 1.05619 1.05969 -26.1367 -26.2155 -0.121109
0.15 0.947355 0.947973 0.925291 0.928392 -26.219 -26.3004 -0.116381
0.155 0.951654 0.952286 0.794038 0.796726 -26.2784 -26.3621 -0.11163
0.16 0.955295 0.95594 0.662545 0.66481 -26.3148 -26.4006 -0.106859
0.165 0.958279 0.958934 0.530928 0.532759 -26.3283 -26.4158 -0.102072
0.17 0.960605 0.961267 0.3993 0.40069 -26.3189 -26.4079 -0.0972711
0.175 0.962272 0.962941 0.267777 0.268719 -26.2867 -26.3769 -0.0924603
0.18 0.963283 0.963955 0.136471 0.13696 -26.2317 -26.3229 -0.0876428
0.185 0.963637 0.964311 0.00549727 0.00552775 -26.1542 -26.246 -0.0828219
0.19 0.963338 0.964011 -0.125033 -0.125463 -26.0542 -26.1464 -0.0780008
0.195 0.962388 0.963057 -0.255008 -0.255898 -25.932 -26.0241 -0.0731828
0.2 0.960789 0.961453 -0.384316 -0.385667 -25.7876 -25.8795 -0.0683713
0.205 0.958546 0.959202 -0.512847 -0.514656 -25.6213 -25.7127 -0.0635694
0.21 0.955662 0.956308 -0.640493 -0.642757 -25.4335 -25.5239 -0.0587803
0.215 0.952143 0.952776 -0.767146 -0.769859 -25.2242 -25.3134 -0.0540074
0.22 0.947993 0.948611 -0.8927 -0.895855 -24.9938 -25.0815 -0.0492536
0.225 0.943218 0.943819 -1.01705 -1.02064 -24.7425 -24.8285 -0.0445223
0.23 0.937825 0.938407 -1.14009 -1.1441 -24.4708 -24.5546 -0.0398165
0.235 0.931819 0.932381 -1.26172 -1.26615 -24.1789 -24.2604 -0.0351393
0.24 0.92521 0.925748 -1.38185 -1.38667 -23.8673 -23.946 -0.0304937
0.245 0.918004 0.918517 -1.50036 -1.50558 -23.5362 -23.6119 -0.0258828
0.25 0.910209 0.910695 -1.61718 -1.62276 -23.186 -23.2585 -0.0213095
0.255 0.901835 0.902292 -1.73219 -1.73813 -22.8173 -22.8863 -0.0167768
0.26 0.89289 0.893317 -1.84532 -1.85159 -22.4303 -22.4956 -0.0122875
0.265 0.883385 0.883779 -1.95647 -1.96306 -22.0257 -22.0869 -0.00784456
0.27 0.873329 0.87369 -2.06555 -2.07243 -21.6038 -21.6607 -0.00345066
0.275 0.862733 0.863059 -2.17248 -2.17964 -21.165 -21.2176 0.000891436
0.28 0.851608 0.851897 -2.27717 -2.28458 -20.71 -20.7579 0.00517904
0.285 0.839965 0.840217 -2.37955 -2.38719 -20.2393 -20.2822 0.00940954
0.29 0.827816 0.828029 -2.47954 -2.48738 -19.7533 -19.7912 0.0135804
0.295 0.815174 0.815347 -2.57706 -2.58508 -19.2525 -19.2852 0.017689
